# Анализ закона Ципфа
# Всего токенов: 2148231
# Уникальных токенов: 176907
# Константа C (Ципф): 65514.81
# Параметры Мандельброта: a=0.9625, b=2.9797, C=165737.43

Ранг	Токен	Частота	Закон_Ципфа	Относит_ошибка,%
187	tüm	1070	350.35	67.26
188	press	1066	348.48	67.31
189	n	1063	346.64	67.39
190	reflist	1059	344.81	67.44
191	üç	1058	343.01	67.58
192	p	1055	341.22	67.66
193	sahip	1052	339.45	67.73
194	üzere	1037	337.71	67.43
195	nin	1036	335.97	67.57
196	kimya	1032	334.26	67.61
197	farklı	1030	332.56	67.71
198	float	1030	330.88	67.88
199	birçok	1009	329.22	67.37
200	hem	1009	327.57	67.53
201	içinde	1001	325.94	67.44
202	kabul	1000	324.33	67.57
203	2002	1000	322.73	67.73
204	aldı	992	321.15	67.63
205	bulunan	984	319.58	67.52
206	inherit	983	318.03	67.65
207	ortaya	981	316.50	67.74
208	gelen	968	314.98	67.46
209	genel	965	313.47	67.52
210	birleşik	958	311.98	67.43
211	ikinci	946	310.50	67.18
212	2003	946	309.03	67.33
213	•	945	307.58	67.45
214	nın	938	306.14	67.36
215	2000	937	304.72	67.48
216	tek	935	303.31	67.56
217	90	928	301.91	67.47
218	ul	920	300.53	67.33
219	önemli	904	299.15	66.91
220	eden	898	297.79	66.84
221	devam	898	296.45	66.99
222	film	896	295.11	67.06
223	eski	894	293.79	67.14
224	center	894	292.48	67.28
225	üzerinde	883	291.18	67.02
226	h	882	289.89	67.13
227	v	881	288.61	67.24
228	kendi	880	287.35	67.35
229	küçük	879	286.09	67.45
230	l	876	284.85	67.48
231	margin-bottom	874	283.61	67.55
232	kez	871	282.39	67.58
233	beşiktaş	871	281.18	67.72
234	ın	868	279.98	67.74
235	takım	866	278.79	67.81
236	tr	865	277.61	67.91
237	çeşitli	863	276.43	67.97
238	ol	863	275.27	68.10
239	r	857	274.12	68.01
240	başladı	855	272.98	68.07
241	ilgili	844	271.85	67.79
242	adlı	841	270.72	67.81
243	margin-top	835	269.61	67.71
244	nedeniyle	834	268.50	67.81
245	2001	826	267.41	67.63
246	ne	825	266.32	67.72
247	bin	822	265.24	67.73
248	0.5	819	264.17	67.74
249	adı	815	263.11	67.72
250	biri	814	262.06	67.81
251	2024	807	261.02	67.66
252	gol	806	259.98	67.74
253	yüksek	805	258.95	67.83
254	savaş	804	257.93	67.92
255	listesi	804	256.92	68.04
256	york	803	255.92	68.13
257	olmak	800	254.92	68.13
258	gün	795	253.93	68.06
259	boyunca	792	252.95	68.06
260	un	791	251.98	68.14
261	birliği	790	251.01	68.23
262	kupası	787	250.06	68.23
263	deniz	779	249.11	68.02
264	edildi	774	248.16	67.94
265	fifa	773	247.23	68.02
266	yaklaşık	772	246.30	68.10
267	müzesi	759	245.37	67.67
268	devlet	757	244.46	67.71
269	edilen	748	243.55	67.44
270	savaşı	746	242.65	67.47
271	geri	742	241.75	67.42
272	sırasında	741	240.86	67.49
273	k	740	239.98	67.57
274	john	739	239.11	67.64
275	futbol	738	238.24	67.72
276	line-height	737	237.37	67.79
277	ankara	732	236.52	67.69
278	iyi	727	235.66	67.58
279	doğru	721	234.82	67.43
280	column-width	719	233.98	67.46
281	kuzey	716	233.15	67.44
282	2025	716	232.32	67.55
283	dört	713	231.50	67.53
284	0.125	711	230.69	67.55
285	doğu	710	229.88	67.62
286	university	706	229.07	67.55
287	resmî	704	228.27	67.57
288	bunun	701	227.48	67.55
289	yerine	701	226.69	67.66
290	hlist	700	225.91	67.73
291	important	698	225.14	67.75
292	modern	696	224.37	67.76
293	anadolu	693	223.60	67.73
294	batı	692	222.84	67.80
295	başka	688	222.08	67.72
296	not	688	221.33	67.83
297	uzun	683	220.59	67.70
298	yeniden	682	219.85	67.76
299	elde	680	219.11	67.78
300	kimyasal	676	218.38	67.69
301	40	673	217.66	67.66
302	1999	671	216.94	67.67
303	madde	670	216.22	67.73
304	lig	665	215.51	67.59
305	yaptığı	662	214.80	67.55
306	arasındaki	657	214.10	67.41
307	114	653	213.40	67.32
308	çıktı	650	212.71	67.28
309	world	650	212.02	67.38
310	ali	648	211.34	67.39
311	88	647	210.66	67.44
312	samsunspor	647	209.98	67.55
313	tarih	644	209.31	67.50
314	olması	643	208.65	67.55
315	amerika	641	207.98	67.55
316	milyon	639	207.33	67.55
317	50	639	206.67	67.66
318	su	629	206.02	67.25
319	1998	627	205.38	67.24
320	margin-right	626	204.73	67.29
321	sezon	625	204.10	67.34
322	yol	623	203.46	67.34
323	saat	621	202.83	67.34
324	rağmen	621	202.21	67.44
325	u	619	201.58	67.43
326	sonrasında	618	200.97	67.48
327	bbc	613	200.35	67.32
328	bilim	613	199.74	67.42
329	İlk	609	199.13	67.30
330	çıkan	608	198.53	67.35
331	hakkında	606	197.93	67.34
332	az	603	197.33	67.27
333	david	601	196.74	67.26
334	oluşan	600	196.15	67.31
335	yazar	600	195.57	67.41
336	1997	599	194.98	67.45
337	İmparatorluğu	596	194.41	67.38
338	toplam	593	193.83	67.31
339	verdi	589	193.26	67.19
340	süre	589	192.69	67.29
341	ait	589	192.13	67.38
342	yaptı	588	191.56	67.42
343	tekrar	588	191.01	67.52
344	vardır	588	190.45	67.61
345	orta	587	189.90	67.65
346	uluslararası	586	189.35	67.69
347	var	580	188.80	67.45
348	content	580	188.26	67.54
349	infobox	579	187.72	67.58
350	1995	578	187.19	67.62
351	kısa	578	186.65	67.71
352	history	574	186.12	67.57
353	dönemde	573	185.59	67.61
354	hakem	572	185.07	67.65
355	güney	570	184.55	67.62
356	yardımcı	570	184.03	67.71
357	fakat	569	183.51	67.75
358	maç	569	183.00	67.84
359	İyi	567	182.49	67.81
360	1.	565	181.99	67.79
361	dış	565	181.48	67.88
362	nasreddin	559	180.98	67.62
363	kişi	556	180.48	67.54
364	1990	555	179.99	67.57
365	bağlı	553	179.49	67.54
366	galatasaray	553	179.00	67.63
367	after	552	178.51	67.66
368	temel	549	178.03	67.57
369	eder	549	177.55	67.66
370	45	549	177.07	67.75
371	inşa	548	176.59	67.78
372	roma	547	176.12	67.80
373	kimyası	547	175.64	67.89
374	millî	545	175.17	67.86
375	34	543	174.71	67.83
376	sıra	541	174.24	67.79
377	zamanda	538	173.78	67.70
378	fransızca	537	173.32	67.72
379	kazandı	536	172.86	67.75
380	altında	536	172.41	67.83
381	yayınları	536	171.95	67.92
382	ifade	534	171.50	67.88
383	screen	531	171.06	67.79
384	alt	529	170.61	67.75
385	36	529	170.17	67.83
386	dan	526	169.73	67.73
387	min-width	526	169.29	67.82
388	pmid	526	168.85	67.90
389	kara	524	168.42	67.86
390	dair	523	167.99	67.88
391	üst	522	167.56	67.90
392	bulunur	522	167.13	67.98
393	width	521	166.70	68.00
394	sadece	520	166.28	68.02
395	birkaç	520	165.86	68.10
396	den	517	165.44	68.00
397	0.4	516	165.02	68.02
398	michael	515	164.61	68.04
399	org	514	164.20	68.05
400	is	514	163.79	68.13
401	beyaz	512	163.38	68.09
402	ele	509	162.97	67.98
403	kadın	509	162.57	68.06
404	hava	508	162.17	68.08
405	tam	506	161.76	68.03
406	journal	506	161.37	68.11
407	süper	506	160.97	68.19
408	almanya	505	160.58	68.20
409	2.	504	160.18	68.22
410	nde	504	159.79	68.30
411	özellikle	503	159.40	68.31
412	from	500	159.02	68.20
413	benzer	497	158.63	68.08
414	teknik	496	158.25	68.10
415	aldığı	496	157.87	68.17
416	news	496	157.49	68.25
417	filmin	496	157.11	68.32
418	clear	495	156.73	68.34
419	at	494	156.36	68.35
420	milliyet	492	155.99	68.30
421	paşa	491	155.62	68.31
422	nda	490	155.25	68.32
423	right	490	154.88	68.39
424	margin-left	490	154.52	68.47
425	sonucu	489	154.15	68.48
426	Üniversitesi	488	153.79	68.49
427	stadyumu	487	153.43	68.49
428	tür	487	153.07	68.57
429	35	487	152.72	68.64
430	yalnızca	486	152.36	68.65
431	38	483	152.01	68.53
432	neden	483	151.65	68.60
433	ulusal	481	151.30	68.54
434	birinci	479	150.96	68.49
435	oyuncu	478	150.61	68.49
436	grup	477	150.26	68.50
437	beş	477	149.92	68.57
438	kültür	477	149.58	68.64
439	ed	477	149.24	68.71
440	mÖ	477	148.90	68.78
441	yaşam	476	148.56	68.79
442	onun	475	148.22	68.80
443	normal	475	147.89	68.87
444	top	475	147.56	68.94
445	verilen	474	147.22	68.94
446	müzik	474	146.89	69.01
447	word-spacing	474	146.57	69.08
448	navbar-brackets	474	146.24	69.15
449	sonraki	473	145.91	69.15
450	sultan	473	145.59	69.22
451	dördüncü	472	145.27	69.22
452	1996	472	144.94	69.29
453	33	472	144.62	69.36
454	plainlist	472	144.31	69.43
455	with	472	143.99	69.49
456	60	471	143.67	69.50
457	altı	470	143.36	69.50
458	kırmızı	470	143.05	69.56
459	sonunda	468	142.73	69.50
460	herhangi	467	142.42	69.50
461	erkek	467	142.11	69.57
462	rusya	466	141.81	69.57
463	buna	465	141.50	69.57
464	yakın	465	141.20	69.64
465	yine	462	140.89	69.50
466	science	462	140.59	69.57
467	alır	461	140.29	69.57
468	dışında	459	139.99	69.50
469	times	459	139.69	69.57
470	2008.	459	139.39	69.63
471	37	458	139.10	69.63
472	w	458	138.80	69.69
473	sırada	457	138.51	69.69
474	before	457	138.22	69.76
475	olmuştur	455	137.93	69.69
476	0.3	455	137.64	69.75
477	biyoloji	452	137.35	69.61
478	font-weight	451	137.06	69.61
479	39	449	136.77	69.54
480	geldi	448	136.49	69.53
481	olup	447	136.21	69.53
482	42	447	135.92	69.59
483	genellikle	445	135.64	69.52
484	halk	445	135.36	69.58
485	8239	445	135.08	69.64
486	iç	443	134.80	69.57
487	2014.	443	134.53	69.63
488	sistemi	442	134.25	69.63
489	1994	441	133.98	69.62
490	alman	440	133.70	69.61
491	üçüncü	439	133.43	69.61
492	kalan	439	133.16	69.67
493	yok	439	132.89	69.73
494	1988	438	132.62	69.72
495	bulunduğu	435	132.35	69.57
496	tarihli	435	132.09	69.64
497	44	435	131.82	69.70
498	1993	433	131.56	69.62
499	sonucunda	432	131.29	69.61
500	ama	431	131.03	69.60
501	41	431	130.77	69.66
502	cilt	430	130.51	69.65
503	itibaren	429	130.25	69.64
504	yapan	429	129.99	69.70
505	birden	429	129.73	69.76
506	kullanılan	428	129.48	69.75
507	İki	427	129.22	69.74
508	avoid	427	128.97	69.80
509	background-color	426	128.71	69.79
510	53	426	128.46	69.84
511	döneminde	426	128.21	69.90
512	page-break-inside	426	127.96	69.96
513	break-inside	426	127.71	70.02
514	avoid-column	426	127.46	70.08
515	bibcode	425	127.21	70.07
516	sayfa	424	126.97	70.06
517	abd	423	126.72	70.04
518	türkiye'de	423	126.48	70.10
519	cumhuriyeti	423	126.23	70.16
520	güneş	423	125.99	70.22
521	doğal	421	125.75	70.13
522	henry	421	125.51	70.19
523	daki	420	125.27	70.17
524	tmulti	420	125.03	70.23
525	maçta	419	124.79	70.22
526	altın	418	124.55	70.20
527	merkezi	417	124.32	70.19
528	maçında	416	124.08	70.17
529	karar	415	123.85	70.16
530	hürriyet	415	123.61	70.21
531	43	412	123.38	70.05
532	oynanan	411	123.15	70.04
533	48	411	122.92	70.09
534	amacıyla	410	122.69	70.08
535	la	409	122.46	70.06
536	kaldı	409	122.23	70.12
537	maçı	408	122.00	70.10
538	sayı	408	121.77	70.15
539	adını	407	121.55	70.14
540	ettiği	406	121.32	70.12
541	1992	406	121.10	70.17
542	inline	405	120.88	70.15
543	sovyet	405	120.65	70.21
544	devletleri	404	120.43	70.19
545	enerji	403	120.21	70.17
546	fransa	403	119.99	70.23
547	londra	403	119.77	70.28
548	sosyal	402	119.55	70.26
549	an	400	119.33	70.17
550	yavuz	400	119.12	70.22
551	değil	399	118.90	70.20
552	issn	399	118.69	70.25
553	olmayan	399	118.47	70.31
554	bilinen	398	118.26	70.29
555	dönem	397	118.04	70.27
556	lost	396	117.83	70.24
557	samsun	395	117.62	70.22
558	williams	394	117.41	70.20
559	atatürk	393	117.20	70.18
560	günü	393	116.99	70.23
561	hoca	392	116.78	70.21
562	1991	391	116.57	70.19
563	dahil	389	116.37	70.09
564	vardı	389	116.16	70.14
565	james	389	115.96	70.19
566	54	388	115.75	70.17
567	49	387	115.55	70.14
568	by	387	115.34	70.20
569	stadyum	385	115.14	70.09
570	eğitim	385	114.94	70.15
571	rooney	385	114.74	70.20
572	sayısı	384	114.54	70.17
573	yaşayan	384	114.34	70.22
574	meydana	384	114.14	70.28
575	link	384	113.94	70.33
576	rapor	383	113.74	70.30
577	3.	382	113.54	70.28
578	55	381	113.35	70.25
579	2013.	381	113.15	70.30
